participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatstrategy,player.taskpaid,player.task1roundpaid,player.leader,player.member,player.paid_round_num,player.higheffort,player.prior,player.posteriorsuccess,player.posteriorfailure,player.bsrscoreprior,player.bsrscoreposterior,player.rollbsrprior,player.rollbsrposterior,player.bsrsuccessprior,player.bsrsuccessposterior,player.beliefquestion,player.paidinvest,player.payoffinvest,player.payoffbelief,player.roundpayoff,player.droppedouteffort,player.droppedoutprior,player.droppedoutposterior,player.payoff,group.id_in_subsession,group.param,group.groupreturnsuccess,group.groupreturnfailure,group.leaderhigheffort,group.groupinvestsuccess,group.rollinvest,group.leaderdroppedout,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,01rowk8a,P2,0,74,74,el_end,B_End,2020-10-07 22:55:32.198189+00:00,1,,,20.50,1,0,1,1,1,0,0,0,25,50,100,,,49.34906963603838,96.63290603944468,,,2,1,250,0,250,0,0,0,0.00,1,2,200,0,0,0,0.5775811923363141,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
2,kbl83lpz,P4,0,74,74,el_end,B_End,2020-10-07 22:55:40.664562+00:00,1,,,17.50,2,0,1,1,0,1,0,1,75,80,75,43.75,43.75,48.71597506062449,95.64135482414878,0,0,1,1,0,0,0,0,0,0,0.00,1,2,200,0,0,0,0.5775811923363141,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
3,ly8h7tut,P5,0,74,74,el_end,B_End,2020-10-07 22:55:54.764067+00:00,1,,,10.00,3,0,1,1,0,1,0,1,100,100,0,0.0,100.0,30.760382337995996,59.63531972843806,0,1,2,1,0,200,0,0,0,0,0.00,1,2,200,0,0,0,0.5775811923363141,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
4,u83ckprm,P1,0,74,74,el_end,B_End,2020-10-07 22:55:59.620658+00:00,1,,,32.50,1,0,1,1,1,0,0,0,0,0,0,,,21.583840832764455,37.40808548642606,,,1,1,250,0,250,0,0,0,0.00,2,2,200,0,0,0,0.6721145861385488,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
5,e4now4nk,P6,0,74,74,el_end,B_End,2020-10-07 22:56:12.085849+00:00,1,,,17.50,2,0,1,1,0,1,0,1,70,70,30,51.0,91.0,41.76907914877977,41.28126905324373,1,1,2,1,0,200,0,0,0,0,0.00,2,2,200,0,0,0,0.6721145861385488,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
6,mjpar8j3,P3,0,74,74,el_end,B_End,2020-10-07 22:56:53.649246+00:00,1,,,20.00,3,0,1,1,0,1,0,0,75,75,75,43.75,43.75,10.61712604358307,5.191183241603348,1,1,1,0,0,200,200,0,0,0,0.00,2,2,200,0,0,0,0.6721145861385488,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
7,adguz609,P7,0,74,74,el_end,B_End,2020-10-07 22:58:11.626683+00:00,1,,,17.50,1,0,1,1,1,0,0,1,40,100,0,,,27.265972979765696,67.7097229583398,,,2,1,250,0,250,0,0,0,0.00,3,2,200,0,1,1,0.592974339544959,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
8,apnxdqi9,P8,0,74,74,el_end,B_End,2020-10-07 22:58:19.421955+00:00,1,,,0.00,2,0,1,1,0,1,0,0,0,0,0,0.0,0.0,55.94857720891846,62.88676709585086,0,0,2,1,200,0,200,0,0,0,0.00,3,2,200,0,1,1,0.592974339544959,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
9,w9gc1dxq,P9,0,74,74,el_end,B_End,2020-10-07 22:58:50.564876+00:00,1,,,5.50,3,0,1,1,0,1,0,0,40,75,25,64.0,93.75,10.698581441073285,45.666076050336244,1,1,2,1,200,200,200,0,0,0,0.00,3,2,200,0,1,1,0.592974339544959,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
10,tr84uffm,P10,0,74,74,el_end,B_End,2020-10-07 22:59:10.447733+00:00,1,,,12.50,1,0,1,1,1,0,0,0,10,75,25,,,33.05494745476981,58.43701975309311,,,2,1,250,0,250,0,0,0,0.00,4,2,200,0,0,0,0.6834027596214052,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
11,g7l3pf12,P12,0,74,74,el_end,B_End,2020-10-07 22:59:49.906663+00:00,1,,,5.50,2,0,1,1,0,1,0,0,30,70,50,91.0,75.0,27.256654220119316,4.540375970221422,1,1,1,1,0,200,0,0,0,0,0.00,4,2,200,0,0,0,0.6834027596214052,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
12,rb6suu11,P13,0,74,74,el_end,B_End,2020-10-07 22:59:51.737124+00:00,1,,,1.25,3,0,1,1,0,1,0,1,75,80,80,43.75,35.999999999999986,96.78925425009868,17.85934778962882,0,1,1,1,0,0,0,0,0,0,0.00,4,2,200,0,0,0,0.6834027596214052,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
13,s7fcp6yi,P11,0,74,74,el_end,B_End,2020-10-07 23:00:06.442882+00:00,1,,,16.25,1,0,1,1,1,0,0,1,80,50,50,,,47.564046994848574,88.44996851966579,,,2,1,250,0,250,0,0,0,0.00,5,2,200,0,1,1,0.44904506849711734,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
14,lcqfjnek,P14,0,74,74,el_end,B_End,2020-10-07 23:00:11.536315+00:00,1,,,4.00,2,0,1,1,0,1,0,0,100,45,45,100.0,69.75,22.812797183306078,27.47330363239664,1,1,1,0,200,200,200,0,0,0,0.00,5,2,200,0,1,1,0.44904506849711734,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
15,qhc0ccp1,P15,0,74,74,el_end,B_End,2020-10-07 23:00:37.496606+00:00,1,,,10.00,3,0,1,1,0,1,0,0,20,50,20,35.999999999999986,75.0,67.8945197488489,53.24600524012249,0,1,2,0,200,200,200,0,0,0,0.00,5,2,200,0,1,1,0.44904506849711734,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
16,k9rf73ds,P16,0,74,74,el_end,B_End,2020-10-07 23:00:51.841307+00:00,1,,,29.00,1,0,1,1,1,0,0,0,100,100,100,,,90.42108567702545,35.162543432867764,,,2,1,450,0,450,0,0,0,0.00,6,2,200,0,0,1,0.23474428755557653,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
17,eecsmep8,P17,0,74,74,el_end,B_End,2020-10-07 23:01:05.748005+00:00,1,,,0.00,2,0,1,1,0,1,0,1,75,75,50,43.75,43.75,29.60130128610109,7.6081479498771305,1,1,1,1,200,200,200,0,0,0,0.00,6,2,200,0,0,1,0.23474428755557653,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
18,rqawlhul,P18,0,74,74,el_end,B_End,2020-10-07 23:01:13.630418+00:00,1,,,15.00,3,0,1,1,0,1,0,1,40,75,25,84.0,43.75,2.677301009940647,6.7343859430082915,1,1,1,0,200,200,200,0,0,0,0.00,6,2,200,0,0,1,0.23474428755557653,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
19,crvel23d,P19,0,74,74,el_end,B_End,2020-10-07 23:06:34.658962+00:00,1,,,20.50,1,0,1,1,1,0,0,0,12,19,9,,,88.01843507531524,95.54271870723092,,,2,1,250,0,250,0,0,0,0.00,7,2,200,0,0,0,0.8619260983781091,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
20,j6vzkpq9,P20,0,74,74,el_end,B_End,2020-10-07 23:08:31.298541+00:00,1,,,2.50,2,0,1,1,0,1,0,1,50,60,40,75.0,84.0,5.419686088724163,10.104851810663718,1,1,2,0,0,200,200,0,0,0,0.00,7,2,200,0,0,0,0.8619260983781091,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
21,be69exmr,P22,0,74,74,el_end,B_End,2020-10-07 23:08:41.210606+00:00,1,,,8.00,3,0,1,1,0,1,0,0,0,10,25,100.0,93.75,67.61196095051277,25.967719334425244,1,1,1,0,0,200,200,0,0,0,0.00,7,2,200,0,0,0,0.8619260983781091,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
22,ih8lc7o7,P21,0,74,74,el_end,B_End,2020-10-07 23:09:04.492470+00:00,1,,,26.25,1,0,1,1,1,0,0,0,0,0,100,,,64.45593606895977,48.76197162523862,,,2,1,250,0,250,0,0,0,0.00,8,2,200,0,0,0,0.9088053061217142,0,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
