participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatstrategy,player.ctrl_errors_count,player.ctrltaskpaid,player.ctrltaskpaid_errors_count,player.ctrltask1roundpaid,player.ctrltask1roundpaid_errors_count,player.ctrlgroup,player.ctrlgroup_errors_count,player.ctrlfeedback,player.ctrlfeedback_errors_count,player.ctrlpayoffmember,player.ctrlpayoffmember_errors_count,player.ctrlpayoffleader,player.ctrlpayoffleader_errors_count,player.ctrlpaymentrole,player.ctrlpaymentrole_errors_count,player.ctrlbeliefpayment,player.ctrlbeliefpayment_errors_count,player.ctrltruthtelling,player.ctrltruthtelling_errors_count,player.payoff,group.id_in_subsession,group.groupreturnsuccess,group.groupreturnfailure,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,01rowk8a,P2,0,74,74,el_end,B_End,2020-10-07 22:55:32.198189+00:00,1,,,20.50,1,0,5,0,0,1,1,1,0,2,0,250,0,100,0,3,0,0,1,2,3,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
2,kbl83lpz,P4,0,74,74,el_end,B_End,2020-10-07 22:55:40.664562+00:00,1,,,17.50,2,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
3,ly8h7tut,P5,0,74,74,el_end,B_End,2020-10-07 22:55:54.764067+00:00,1,,,10.00,3,0,3,0,1,1,0,1,0,2,0,250,0,100,1,3,0,0,1,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
4,u83ckprm,P1,0,74,74,el_end,B_End,2020-10-07 22:55:59.620658+00:00,1,,,32.50,4,0,3,0,0,1,0,1,1,2,1,250,0,100,1,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
5,e4now4nk,P6,0,74,74,el_end,B_End,2020-10-07 22:56:12.085849+00:00,1,,,17.50,5,0,7,0,2,1,1,1,1,2,0,250,0,100,0,3,0,0,1,2,2,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
6,mjpar8j3,P3,0,74,74,el_end,B_End,2020-10-07 22:56:53.649246+00:00,1,,,20.00,6,0,5,0,0,1,1,1,1,2,2,250,0,100,0,3,0,0,0,2,1,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
7,adguz609,P7,0,74,74,el_end,B_End,2020-10-07 22:58:11.626683+00:00,1,,,17.50,7,0,1,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,1,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
8,apnxdqi9,P8,0,74,74,el_end,B_End,2020-10-07 22:58:19.421955+00:00,1,,,0.00,8,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
9,w9gc1dxq,P9,0,74,74,el_end,B_End,2020-10-07 22:58:50.564876+00:00,1,,,5.50,9,0,1,0,1,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
10,tr84uffm,P10,0,74,74,el_end,B_End,2020-10-07 22:59:10.447733+00:00,1,,,12.50,10,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
