		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
		Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)	Dependent variable: Logit(posterior)
VARIABLES	LABELS	>= 1	>= 2	>= 3	>= 4	>= 5	>= 6	>= 7	>= 8	>= 9	>= 10
											
LogitUnconditional	LG: Logit of interim belief	0.783	0.759	0.695	0.667	0.650	0.652	0.653	0.656	0.656	0.656
		(0.040)	(0.038)	(0.039)	(0.039)	(0.042)	(0.041)	(0.041)	(0.041)	(0.041)	(0.041)
LogitStateGood	LG: Logit of probability of good state	0.786	0.728	0.751	0.752	0.742	0.661	0.653	0.607	0.606	0.602
		(0.060)	(0.055)	(0.051)	(0.052)	(0.052)	(0.064)	(0.066)	(0.069)	(0.069)	(0.069)
LogitStateBad	LG: Logit of probability of bad state	1.072	1.030	0.966	0.902	0.873	0.923	0.913	0.916	0.909	0.905
		(0.088)	(0.074)	(0.067)	(0.068)	(0.067)	(0.072)	(0.072)	(0.072)	(0.072)	(0.072)
											
Observations		1,620	2,076	2,460	2,652	2,748	2,844	2,904	2,964	2,976	2,988
R-squared		0.710	0.692	0.608	0.565	0.548	0.524	0.518	0.504	0.503	0.503
delta		-0.217	-0.241	-0.305	-0.333	-0.350	-0.348	-0.347	-0.344	-0.344	-0.344
t-stat_delta		-5.457	-6.367	-7.783	-8.443	-8.364	-8.382	-8.368	-8.333	-8.325	-8.326
p-val_delta		2.26e-07	1.69e-09	0	0	0	0	0	0	0	0
gammaG		-0.214	-0.272	-0.249	-0.248	-0.258	-0.339	-0.347	-0.393	-0.394	-0.398
t-stat_gammaG		-3.566	-4.960	-4.846	-4.791	-4.971	-5.262	-5.282	-5.673	-5.711	-5.784
p-val_gammaG		0.000503	1.68e-06	2.50e-06	3.06e-06	1.31e-06	3.19e-07	2.85e-07	3.93e-08	3.22e-08	2.19e-08
gammaB		0.0717	0.0300	-0.0343	-0.0980	-0.127	-0.0769	-0.0866	-0.0841	-0.0911	-0.0954
t-stat_gammaB		0.816	0.408	-0.514	-1.445	-1.892	-1.062	-1.197	-1.168	-1.265	-1.327
p-val_gammaB		0.416	0.684	0.608	0.150	0.0597	0.289	0.232	0.244	0.207	0.186
gammaG=gammaB		-0.286	-0.302	-0.215	-0.150	-0.131	-0.262	-0.260	-0.309	-0.303	-0.303
t-stat_gammaG=gammaB		-3.401	-4.216	-3.190	-2.058	-1.771	-2.575	-2.499	-2.862	-2.815	-2.825
p-val_gammaG=gammaB		0.000884	4.01e-05	0.00165	0.0408	0.0779	0.0106	0.0131	0.00457	0.00527	0.00511
Robust standard errors in parentheses											
